slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement_type,history,event_date,landslide,label
ME/RIB/2026/37,Meghalaya,Ri-Bhoi,Umsamlan 2,NH-6,25.80725833,91.87509444,Debris,Slide,14 July 2024,2024-07-14,1,1
7242,Meghalaya,West Khasi Hills,West Khasi Hills Slope Failure (7242),Nongstoin-RongjongTura Road,25.62269444,91.16914444,Debris,Slide,02 July 2024,2024-07-02,1,1
ME/WKH/2026/39,Meghalaya,West Khasi Hills,West Khasi Hills Slope Failure (ME/WKH/2026/39),Nongstoin-RongjongTura Road,25.61276111,91.17375278,Debris,Slide,02 July 2024,2024-07-02,1,1
7243,Meghalaya,West Khasi Hills,West Khasi Hills Slope Failure (7243),Nongstoin-RongjongTura Road,25.66156667,91.13485278,Debris,Slide,02 July 2024,2024-07-02,1,1
7244,Meghalaya,Eastern-West Khasi Hill,Nongkhlaw-Tirotsing 1,Mairang-Guwahati Road,25.69150833,91.64160833,Debris,Slide,29 May 2025,2025-05-29,1,1
ME/EWK/2026/42,Meghalaya,Eastern-West Khasi Hill,Nongkhlaw-Tirotsing 2,Mairang-Guwahati Road,25.69517778,91.64123611,Debris,Slide,30 May 2025,2025-05-30,1,1
ME/EWK/2026/43,Meghalaya,Eastern-West Khasi Hill,Eastern-West Khasi Hill Slope Failure (ME/EWK/2026/43),Mairang-Guwahati Road,25.69688611,91.64176667,Debris,Slide,25 June 2025,2025-06-25,1,1
ME/EWK/2026/44,Meghalaya,Eastern-West Khasi Hill,Nongkhlaw-Tirotsing 3,Mairang-Guwahati Road,25.70087778,91.642902,Debris,Slide,08 October 2024,2024-10-08,1,1
ME/EWK/2026/45,Meghalaya,Eastern-West Khasi Hill,Nongkhlaw-Tirotsing 4,Mairang-Guwahati Road,25.69866667,91.64517222,Debris,Slide,06 August 2024,2024-08-06,1,1
7245,Meghalaya,Eastern-West Khasi Hill,Eastern-West Khasi Hill Slope Failure (7245),Mairang-Guwahati Road,25.69683611,91.64485556,Debris,Slide,06 August 2024,2024-08-06,1,1
ME/EWK/2026/47,Meghalaya,Eastern-West Khasi Hill,Eastern-West Khasi Hill Slope Failure (ME/EWK/2026/47),Mairang-Guwahati Road,25.69523333,91.64426944,Debris,Slide,30 May 2025,2025-05-30,1,1
ME/EWK/2026/48,Meghalaya,Eastern-West Khasi Hill,Eastern-West Khasi Hill Slope Failure (ME/EWK/2026/48),Mairang-Guwahati Road,25.69463611,91.64577778,Debris,Slide,30 May 2025,2025-05-30,1,1
ME/EWK/2026/49,Meghalaya,Eastern-West Khasi Hill,Eastern-West Khasi Hill Slope Failure (ME/EWK/2026/49),Mairang-Guwahati Road,25.68698889,91.64812222,Rock,Slide,28 May 2025,2025-05-28,1,1
ME/EWK/2026/50,Meghalaya,Eastern-West Khasi Hill,Eastern-West Khasi Hill Slope Failure (ME/EWK/2026/50),Mairang-Guwahati Road,25.68690556,91.64915278,Debris,Fall,28 May 2025,2025-05-28,1,1
ME/EWK/2026/51,Meghalaya,Eastern-West Khasi Hill,Eastern-West Khasi Hill Slope Failure (ME/EWK/2026/51),Nongkhlaw-Guwahati Road,25.688833,91.653639,Earth/Soil,Slide,25 June 2025,2025-06-25,1,1
7246,Meghalaya,Eastern-West Khasi Hill,Eastern-West Khasi Hill Slope Failure (7246),Mairang-Guwahati Road,25.68798889,91.65838889,Debris,Slide,28 May 2024,2024-05-28,1,1
7247,Meghalaya,Eastern-West Khasi Hill,Eastern-West Khasi Hill Slope Failure (7247),Nongkhlaw-Guwahati Road,25.68805,91.66653,Debris,Slide,28 May 2024,2024-05-28,1,1
ME/EWK/2026/54,Meghalaya,Eastern-West Khasi Hill,Eastern-West Khasi Hill Slope Failure (ME/EWK/2026/54),Mairang-Guwahati Road,25.68822222,91.66746111,Debris,Slide,11 June 2025,2025-06-11,1,1
7248,Meghalaya,Eastern-West Khasi Hill,Mawiongkhri,Nongkhlaw-Guwahati Road,25.69007,91.67085,Debris,Slide,11 June 2025,2025-06-11,1,1
7249,Meghalaya,Eastern-West Khasi Hill,Umniangriang,Mairang-Guwahati Road,25.733262,91.675754,Debris,Slide,11 June 2025,2025-06-11,1,1
7250,Meghalaya,Eastern-West Khasi Hill,Boulder Stone Quarry Site,Mairang-Guwahati Road,25.762051,91.658959,Debris,Slide,29 May 2024,2024-05-29,1,1
ME/EWK/2026/58,Meghalaya,Eastern-West Khasi Hill,Mawpat,Mairang-Guwahati Road,25.770935,91.656497,Debris,Slide,29 May 2024,2024-05-29,1,1
7251,Meghalaya,Eastern-West Khasi Hill,Madpan,Mairang-Guwahati Road,25.791616,91.658242,Debris,Slide,29 May 2024,2024-05-29,1,1
ME/EWK/2026/60,Meghalaya,Eastern-West Khasi Hill,Eastern-West Khasi Hill Slope Failure (ME/EWK/2026/60),Mairang-Guwahati Road,25.803984,91.659801,Debris,Slide,28 August 2024,2024-08-28,1,1
7252,Meghalaya,Eastern-West Khasi Hill,Mawkarah,Nongkhlaw Road,25.700668,91.596815,Debris,Slide,31 May 2025,2025-05-31,1,1
ME/EWK/2026/62,Meghalaya,Eastern-West Khasi Hill,Eastern-West Khasi Hill Slope Failure (ME/EWK/2026/62),Jakhong Road,25.739454,91.572107,Debris,Slide,31 May 2025,2025-05-31,1,1
7598,Meghalaya,South West Garo Hills,Betasing,Kongpara,25.567423,89.979711,Debris,Slide,13 July 2026,2026-07-13,1,1
3442,Meghalaya,East Khasi Hills,Pohkseh,BL-D/24,25.566518,91.914509,Rock,Fall,19 August 2025,2025-08-19,1,1
MIZO/AIZ/84A10/2007/E-3,Mizoram,Aizawl,Bawng Venglai slide,,23.751694,92.731528,Debris,Slide,8 September 2007,2007-09-08,1,1
MZ/AZL/84A10/2024/001,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/001),"Luangmual, Aizawl",23.73888889,92.69638889,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/002,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/002),"Luangmual, Aizawl",23.73947222,92.69666667,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/003,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/003),"Luangmual, Aizawl",23.74027778,92.69722222,Earth/Soil,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/004,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/004),"Luangmual, Aizawl",23.74066667,92.69336111,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/005,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/005),"Mizoram Law College, Luangmual, Aizawl",23.7385748,92.6941941,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/006,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/006),"R Romawia (L) Chawlhhmun, Aizawl",23.74472222,92.69277778,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/007,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/007),"Luangmual, Aizawl",23.74116667,92.69455556,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/008,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/008),"Luangmual - Ainawn road, Aizawl",23.7375,92.69444444,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/009,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/009),"Luangmual-Ainawn road, Aizawl",23.73386111,92.69491667,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/010,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/010),"Ainawn Veng, Aizawl",23.72669444,92.69519444,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/011,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/011),"Ainawn, Aizawl.",23.73361111,92.69388889,Earth/Soil,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/012,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/012),"Zonuam, Aizawl",23.73472222,92.695,Earth/Soil,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/014,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/014),"Zonuam, Aizawl",23.73305556,92.69944444,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/015,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/015),"Zonuam, Aizawl",23.74972222,92.69833333,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/016,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/016),"Chawnpui, Aizawl",23.73111111,92.70222222,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/017,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/017),"Chawnpui, Aizawl",23.73111111,92.70388889,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/018,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/018),"Chawnpui, Aizawl",23.73333333,92.70527778,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/020,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/020),"Zonuam, Aizawl",23.73583333,92.69777778,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/021,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/021),"Kanaan Cemetery, Aizawl",23.73132778,92.70821944,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/022,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/022),"MINECO, Aizawl",23.72428333,92.70737778,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/023,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/023),"Bungkawn, Aizawl",23.72276944,92.70665,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/024,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/024),"Mission Vengthlang, Aizawl",23.71446389,92.71146389,Debris,Flow,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/025,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/025),"MSVT to Reiek Road, Aizawl",23.71581111,92.70935,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/026,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/026),"Bungkawn, Nursery, Aizawl",23.71595,92.70879444,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/027,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/027),"Nursery Veng, Aizawl",23.7175,92.70666667,Earth/Soil,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/0028,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/0028),"Nursery Veng, Aizawl",23.71740833,92.70644167,Earth/Soil,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/029,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/029),"Nursery Veng, Aizawl",23.71735556,92.70753333,Earth/Soil,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/030,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/030),"Nursery Veng, Aizawl",23.71721667,92.70777778,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/031,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/031),"Nursery Veng, Aizawl",23.71697222,92.70817222,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/032,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/032),"Mission Vengthlang, Aizawl",23.71305556,92.70895833,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/033,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/033),"Model Veng, Aizawl",23.71523056,92.71529167,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/034,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/034),"Chanmari-Chanmari West, Aizawl",23.74,92.715,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/035,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/035),"Chanmari-Chanmari west, Aizawl",23.73944444,92.71472222,Rock,Fall,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/036,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/036),"Salem Veng, Aizawl",23.71138889,92.72444444,Earth/Soil,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/037,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/037),"Mission Veng, Aizawl",23.71638889,92.72111111,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/038,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/038),"Salem Veng, Aizawl",23.71444444,92.72861111,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/041,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/041),"Salem Veng cemetery, Aizawl",23.71571389,92.72659722,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/042,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/042),"Venghnuai, Aizawl",23.7104,92.72237778,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/043,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/043),"Republic Veng, Aizawl",23.71865833,92.72335278,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/044,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/044),"Republic Veng, Lungli Road, Aizawl",23.7175,92.71972222,Debris,Complex,19 September 2023,2023-09-19,1,1
MZ/AZL/84A10/2024/045,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/045),"Kulikawn cemetery, Aizawl",23.71,92.71611111,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/047,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/047),"Kulikawn, Aizawl",23.70666667,92.71444444,Debris,Flow,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/048,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/048),"Tlangnuam, Aizawl",23.70527778,92.71138889,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/049,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/049),"Tlangnuam CP Road, Aizawl",23.70416667,92.71222222,Earth/Soil,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/050,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/050),"Tlangnuam Vengthar, Aizawl",23.70027778,92.71611111,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/051,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/051),"Tlangnuam Vengthar, Aizawl",23.69972222,92.71694444,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/052,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/052),"Trinity Hospital, Silaimual, Aizawl",23.68027778,92.72472222,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/053,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/053),"Melthum to Hualngohmun Road, Aizawl",23.67805556,92.72,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/054,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/054),"Paikhai, Melriat, Aizawl",23.64333333,92.73444444,Earth/Soil,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/055,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/055),"Melriat, Aizawl",23.64638889,92.72638889,Debris,Slide,02 October 2023,2023-10-02,1,1
MZ/AZL/84A10/2024/056,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/056),"Melriat, Aizawl",23.64638889,92.72527778,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/057,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/057),Kelsih,23.63111111,92.72388889,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/058,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/058),"Kelsih, Aizawl",23.63055556,92.72305556,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/059,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/059),"Falkawn, Aizawl",23.62833333,92.72333333,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/060,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/060),"Falkawn, Aizawl",23.62277778,92.72444444,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/061,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/061),"Falkawn, Aizawl",23.62194444,92.72305556,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/062,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/062),"Falkawn, Aizawl",23.62083333,92.7225,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/063,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/063),"Falkawn, Aizawl",23.61916667,92.7225,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/004,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/004),"Falkawn Vengthar, Aizawl",23.62,92.72472222,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/065,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/065),"Falkawn vengthar, Aizawl",23.61972222,92.72527778,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/066,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/066),"Falkawn vengthar, Aizawl",23.62027778,92.72555556,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/067,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/067),"Falkawn vengthar, Aizawl",23.62027778,92.72611111,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/068,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/068),"Falkawn vengthar, Aizawl",23.62111111,92.72444444,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/069,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/069),"Melthum, Aizawl",23.68743333,92.72129167,Rock,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/070,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/070),"Hlimen, Aizawl",23.67694444,92.71722222,Rock,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/071,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/071),"Hlimen, Aizawl",23.67583333,92.715,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/072,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/072),"Hlimen, Aizawl",23.67472222,92.71722222,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/073,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/073),"Hlimen, Aizawl",23.67444444,92.71472222,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/074,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/074),"Hlimen, Aizawl",23.67388889,92.71472222,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/075,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/075),"Hlimen, Aizawl",23.672069,92.7099293,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/076,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/076),"Hlimen, Aizawl",23.684301,92.715511,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/077,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/077),"World Bank Road, Kulikawn East, Aizawl",23.70638889,92.72055556,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/078,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/078),"World Bank Road, Aizawl",23.70416667,92.72,Rock,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/079,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/079),"World Bank Road, Aizawl",23.70305556,92.72055556,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/080,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/080),"World Bank Road and Saikhamakawn, Aizawl",23.69333333,92.72055556,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/082,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/082),"World Bank Road, Aizawl",23.69,92.72361111,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/083,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/083),"World Bank Road, Aizawl",23.68361111,92.72277778,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/084,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/084),"Melthum, Aizawl-Thenzawl- Lunglei Highway",23.67611111,92.71972222,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/085,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/085),Aizawl-Thenzawl-Lunglei Highway,23.67138889,92.72361111,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/086,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/086),Aizawl-Thenzawl-Lunglei Highway,23.66694444,92.72194444,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/087,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/087),Aizawl-Thenzawl-Lunglei Highway,23.66666667,92.72388889,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/088,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/088),Hualngohmun Bifurcation,23.66027778,92.72694444,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/090,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/090),"Melriat Bazar, Aizawl",23.64388889,92.72583333,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/091,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/091),"Kelsih, Aizawl",23.635,92.72361111,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A15/2024/092,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A15/2024/092),"Chamring to Hmuifang Road, Aizawl",23.43277778,92.76111111,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/093,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/093),"Midum Kham, Sumsuih",23.46777778,92.74111111,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A11/2024/094,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A11/2024/094),"Thiak, Aizawl",23.46805556,92.71638889,Debris,Flow,28 May 2024,2024-05-28,1,1
MZ/AZL/84A11/2024/095,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A11/2024/095),"Thiak, Aizawl",23.4725,92.71444444,Earth/Soil,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A11/2024/097,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A11/2024/097),Thiak to Maubuang,23.49,92.70555556,Debris,Complex,28 May 2024,2024-05-28,1,1
MZ/AZL/84A11/2024/098,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A11/2024/098),Thiak to Maubuang,23.49722222,92.70333333,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/099,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/099),Maubuang to Sateek,23.51361111,92.69833333,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/100,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/100),Sateek,23.53666667,92.6975,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/101,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/101),Sateek,23.54166667,92.70194444,Debris,Flow,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/102,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/102),Sateek,23.54277778,92.70333333,Earth/Soil,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/103,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/103),Phulpui,23.52944444,92.72944444,Debris,Flow,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/104,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/104),Phulpui,23.53083333,92.73055556,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/105,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/105),Phulpui,23.53111111,92.73361111,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/106,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/106),Phulpui,23.53083333,92.73333333,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/107,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/107),Aibawk,23.56388889,92.70805556,Debris,Slide,28 May 2024,2024-05-28,1,1
MZ/AZL/84A10/2024/108,Mizoram,Aizawl,Aizawl Slope Failure (MZ/AZL/84A10/2024/108),Aibawk,23.56416667,92.70805556,Debris,Slide,28 May 2024,2024-05-28,1,1
